m/z,z,I,Res.
55.66988,,1163179,1179934
55.67146,,1174856,1086997
55.67259,,1151281,1196289
55.67318,,1253929,1251029
55.6742,,1455126,1230482
55.67683,,1211663,1340167
55.67778,,1141171,1031218
55.67881,,1157206,1151635
55.68308,,1385331,992459
55.68738,,1208353,1259688
55.68882,,1193017,1325992
55.68947,,1216084,1315322
55.69573,,1206821,728253
55.7005,,1131532,1315237
55.7012,,1216672,1144985
55.70286,,1254597,1317754
55.70335,,1194075,876253
55.70392,,1178033,1107264
55.70417,,1220583,1049125
55.70765,,1168058,866413
55.70939,,1203070,988489
55.71375,,1356942,1031645
55.71564,,1306688,866934
55.71855,,1414948,896139
55.72032,,1219323,874675
55.72158,,1198694,1383066
55.72178,,1393635,767307
55.72207,,1233520,1035370
55.72299,,1147206,1134557
55.72409,,1173962,1228559
55.72803,,1169513,880039
55.73225,,1130395,569599
55.73312,,1194713,1083320
55.73912,,1327086,972076
55.74548,,1275971,1421659
55.74749,,1355028,990564
55.74909,,1318317,1280236
55.74953,,1498899,794800
55.76179,,1156767,1467836
55.76243,,1155717,1057909
55.76326,,1177636,1361444
55.76737,,1315995,1057580
55.76909,,1175863,1205816
55.77103,,1189354,991380
55.77627,,1210537,1203944
55.77732,,1419300,1259833
55.78455,,1147799,1157825
55.78519,,1183727,978648
55.79557,,1166432,1032786
55.796,,1186837,1126010
55.79933,,1274819,1188929
55.80178,,1193882,1346372
55.80186,,1217826,1280823
55.80349,,1133474,1138415
55.80394,,1241154,745130
55.80575,,1196787,895802
55.80666,,1211362,1080386
55.80757,,1148651,1174986
55.8118,,1324698,957371
55.81185,,1442825,970240
55.81279,,1267608,1110955
55.81571,,1226880,1112667
55.81695,,1134001,1139481
55.8197,,1307766,1235142
55.82285,,1249476,974264
55.8233,,1267387,1175668
55.82803,,1368189,1064718
55.82931,,1192176,1184729
55.83239,,1193041,1045482
55.8343,,1134834,1482242
55.83537,,1311557,1147135
55.83738,,1146901,1268980
55.83781,,1186749,728077
55.83899,,1170561,1590682
55.84397,,1136283,1371575
55.84495,,1321446,1107307
55.84575,,1213632,1163212
55.84803,,1203779,1491748
55.84847,,1147206,1483995
55.84871,,1156356,697529
55.85251,,1168271,1275319
55.85467,,1145411,1359138
55.85652,,1174329,847458
55.85673,,1158602,1488157
55.85716,,1261582,928079
55.85943,,1144530,860241
55.86024,,1195096,1226688
55.86957,,1140157,744395
55.86973,,1216787,850418
55.87443,,1266732,1133295
55.87616,,1409303,868616
55.87644,,1202058,1207396
55.88173,,1223073,992688
55.88338,,1246154,1062461
55.88401,,1136919,834340
55.88425,,1167974,1037234
55.88496,,1147472,1282419
55.88715,,1159917,1075508
55.89221,,1314150,1163551
55.89399,,1301714,1122707
55.89671,,1155756,990354
55.89682,,1219210,1368775
55.90079,,1216058,991071
55.90104,,1281770,1156922
55.9023,,1368699,1408929
55.90314,,1175448,1256222
55.91334,,1141843,1157230
55.92698,,1247038,1102475
55.93009,,1152229,1041446
55.93241,,1222624,1288424
55.93704,,1238507,1252311
55.9376,,1201355,982201
55.9395,,1321838,833468
55.93966,,1246419,1041763
55.94123,,1302617,1250057
55.94294,,1178185,1140345
55.94505,,1191106,1164161
55.94581,,1154936,1005402
55.95149,,1371666,1144916
55.95378,,1139950,1483757
55.95766,,1251636,1250312
55.95954,,1515695,1122227
55.96032,,1353505,1179857
55.96768,,1161226,1376969
55.97027,,1144077,1268428
55.97105,,1143688,1104849
55.97295,,1162786,1047771
55.97772,,1293001,951545
55.97887,,1173195,1028673
55.97938,,1183959,1006962
55.97967,,1154521,1181648
55.98178,,1465899,1052929
55.98364,,1156039,1250042
55.98502,,1165001,564250
55.98527,,1161122,849972
55.98677,,1220900,1184999
55.98871,,1274410,1091252
55.99634,,1177516,1166673
56.00069,,1295663,1185322
56.00181,,1147423,1060624
56.01059,,1407225,1010304
56.01192,,1254376,833290
56.01361,,1163955,1173139
56.01462,,1304837,928111
56.01712,,1228222,1218381
56.01911,,1137788,1062993
56.02298,,1151503,1266485
56.02422,,1172306,784047
56.02574,,1215342,1620510
56.02636,,1148946,1491192
56.02711,,1243851,1064238
56.02876,,1217113,1246982
56.03064,,1174358,1604075
56.03167,,1207440,1138558
56.03342,,1187616,1086470
56.03414,,1251653,1105759
56.03523,,1363003,893075
56.04062,,25538440,752230
56.04072,,6542601,1198526
56.04078,,5711033,1379336
56.04084,,2680444,1534638
56.04089,,6548465,1195557
56.04098,,4314933,1143863
56.04764,,1266384,1292158
56.0497,,1224568,782311
56.05347,,1582414,833554
56.05551,,1164599,1112720
56.06008,,1137767,1162326
56.0603,,1549003,924327
56.06257,,1207690,914694
56.06536,,1247956,786974
56.0672,,1197350,838793
56.07055,,1297320,1088954
56.07118,,1169944,1149907
56.07394,,1192989,1333703
56.07495,,1301541,844264
56.07612,,1363347,1509804
56.08162,,1174449,931547
56.08629,,1131375,1184701
56.08734,,1130230,929645
56.08818,,1171601,1128969
56.08875,,1401157,975016
56.09494,,1227531,1005657
56.09545,,1162622,1572831
56.09681,,1212607,1174645
56.10009,,1151728,731638
56.10053,,1263166,1009495
56.1023,,1162832,1101584
56.1078,,1336963,1057609
56.11158,,1314471,1157457
56.11299,,1140685,1451783
56.11308,,1629219,771221
56.11696,,1249842,1188669
56.11788,,1262151,1316302
56.12106,,1222536,862278
56.12128,,1230714,1040538
56.12144,,1228415,1069313
56.1223,,1144911,831806
56.12297,,1136791,1207741
56.12332,,1154258,978128
56.12596,,1399992,1492974
56.12712,,1133148,1155983
56.12769,,1151368,1295283
56.12954,,1140146,1581055
56.13045,,1159656,920701
56.13052,,1291015,575305
56.13338,,1195311,969076
56.13404,,1234905,1239782
56.1371,,1392097,1091360
56.13799,,1196752,925677
56.13945,,1415358,1390458
56.13989,,1193504,1123906
56.14098,,1153809,1302698
56.14401,,1169911,1007191
56.1452,,1460088,1151755
56.14656,,1307463,746973
56.15195,,1535548,996091
56.15206,,1345066,918140
56.15484,,1287785,1240911
56.15822,,1337967,906897
56.15832,,1306624,832829
56.15855,,1256440,1120103
56.15985,,1169434,1278635
56.16101,,1141905,1171220
56.16181,,1189106,1068533
56.1627,,1358344,1003460
56.16631,,1262764,897755
56.16777,,1376696,1152656
56.16787,,1546570,890082
56.16983,,1277250,1277030
56.17258,,1266381,1359433
56.17267,,1190010,1030956
56.17478,,1221260,1200912
56.17797,,1378374,1007592
56.17803,,1280547,893731
56.17986,,1214563,1270304
56.18345,,1272636,652324
56.18565,,1234048,1738037
56.18761,,1154946,1395148
56.18954,,1142242,1251242
56.19244,,1331140,863067
56.19425,,1318953,1296285
56.19529,,1164722,601949
56.19981,,1166647,1411610
56.20011,,1157085,1182508
56.20519,,1497097,1168733
56.20538,,1332015,1202799
56.20578,,1361879,1052780
56.20795,,1350603,759219
56.21188,,1279553,1237927
56.21205,,1358831,869863
56.21316,,1158164,975014
56.21423,,1419065,667538
56.21578,,1166099,1069978
56.21706,,1179583,1325746
56.21741,,1179564,1241504
56.21795,,1500697,850847
56.21878,,1133896,1332009
56.2191,,1302408,1136618
56.22176,,1383530,900941
56.22419,,1293427,1224867
56.22551,,1306276,1255394
56.22843,,1140884,1002349
56.22931,,1280289,1232213
56.23127,,1200973,759751
56.23349,,1185165,1226997
56.23371,,1176687,1091212
56.23383,,1148093,1508737
56.23458,,1298196,979630
56.23497,,1184305,1426348
56.23516,,1156625,1097754
56.23628,,1320652,877538
56.23711,,1133213,873390
56.23745,,1165757,1244861
56.24036,,1315068,958251
56.2408,,1160200,1182488
56.24149,,1332349,1143487
56.24308,,1149034,1198434
56.24449,,1163653,953630
56.24954,,1146358,1160300
56.2517,,1311220,908716
56.25239,,1363887,1121912
56.25326,,1247256,997615
56.25534,,1496310,990185
56.25551,,1177849,1372990
56.25566,,1372085,1365561
56.25614,,1669572,774277
56.26027,,1360329,965507
56.26058,,1323085,1052508
56.26196,,1179389,1163274
56.2623,,1272438,1047270
56.26249,,1330443,1000281
56.26324,,1228968,984236
56.26757,,1174216,1209737
56.26925,,1157942,1304446
56.27017,,1274905,1534883
56.27125,,1210173,1220921
56.27283,,1379663,808501
56.27314,,1153914,973869
56.27365,,1345858,1199288
56.2738,,1341849,880649
56.27556,,1221779,1150208
56.27604,,1224627,1152848
56.2764,,1232303,1079084
56.2795,,1305267,1091943
56.28199,,1352994,677836
56.28946,,1274387,867081
56.28985,,1249998,1042749
56.29351,,1368455,1069116
56.29459,,1202126,880563
56.29486,,1287089,801378
56.29689,,1148784,1250472
56.2981,,1414066,1260912
