m/z,z,I,Res.
53.96912,,449067,1285300
53.96933,,422581,2168173
53.96995,,524658,1198093
53.97047,,471909,1349421
53.97134,,514420,924043
53.97195,,536024,1103935
53.9726,,768909,632894
53.97349,,869113,573959
53.97358,,661395,632672
53.97407,,583827,593185
53.97494,,434968,1593448
53.9752,,574302,763255
53.97547,,602127,789933
53.97556,,504842,973106
53.97572,,460442,926703
53.97715,,573882,995623
53.97812,,578180,627875
53.97829,,577552,498945
53.9784,,680461,499247
53.97908,,508667,959652
53.97942,,483909,794119
53.97997,,938064,589939
53.98023,,593950,910770
53.98077,,417707,2440656
53.98124,,507865,1005542
53.98244,,744807,721910
53.98257,,602192,879741
53.98287,,694307,830295
53.98358,,514657,1280084
53.98402,,435198,801561
53.98443,,533174,1333611
53.98464,,431220,1790614
53.98486,,626982,758304
53.98501,,672601,736060
53.98531,,564262,721500
53.98544,,502916,973122
53.98568,,497462,569815
53.98572,,503873,958856
53.9859,,423036,2787645
53.98602,,507670,1263764
53.98618,,591739,1015599
53.98658,,684599,754976
53.98684,,448999,1244001
53.98707,,421648,1899183
53.9874,,659428,562454
53.98802,,419304,2595650
53.98833,,435192,1611581
53.98861,,459907,846333
53.98874,,433922,2199729
53.98907,,427536,1690422
53.98949,,473352,726618
53.99034,,627506,833187
53.99053,,572015,963933
53.99084,,502089,863737
53.99108,,470583,1265571
53.99122,,487506,1172070
53.99159,,592376,731830
53.99174,,452016,1758521
53.99221,,784513,754068
53.99235,,661804,721254
53.99297,,638063,599249
53.99321,,479208,1339696
53.99376,,560323,679615
53.99442,,524135,690029
53.9947,,789734,743504
53.99482,,505890,901823
53.99497,,477011,819055
53.99514,,439005,1502267
53.99616,,796752,435219
53.9964,,604095,814639
53.99669,,550730,935352
53.99687,,511513,1079682
53.99734,,467525,1222223
53.99755,,496380,515869
53.99788,,480815,876679
53.99852,,549258,720406
53.99878,,459269,1173376
54.00039,,553822,997447
54.00066,,437912,1488946
54.00077,,508231,1150430
54.0013,,434622,1682549
54.00161,,602059,758613
54.00176,,543896,792113
54.00255,,617436,601723
54.00276,,481697,1520554
54.00363,,704173,616174
54.00462,,437451,1594117
54.00486,,426564,2124227
54.0057,,592649,1082973
54.00583,,434796,1536571
54.00598,,434407,1780467
54.00642,,509395,869783
54.00703,,582050,797529
54.00757,,821860,509965
54.00826,,625084,747798
54.00847,,459210,819399
54.00949,,512098,1003339
54.0103,,554096,898493
54.0107,,676156,820106
54.01134,,610669,957501
54.01186,,528863,1320062
54.01198,,669122,913641
54.01229,,559645,915101
54.0125,,559865,1099926
54.01282,,530929,782054
54.0138,,602679,789353
54.014,,512588,729638
54.01425,,534755,874824
54.01506,,590336,768382
54.01521,,466347,1571571
54.01603,,534099,683274
54.01656,,773491,818891
54.01681,,519487,682286
54.01694,,454131,1194459
54.01721,,566150,788392
54.01734,,530938,1017856
54.01765,,636163,504093
54.01832,,417980,1004718
54.01858,,514709,968420
54.01881,,437049,1347267
54.01922,,447298,524351
54.01956,,504563,1142761
54.0197,,541579,975951
54.02093,,470756,944145
54.0213,,512620,949666
54.02155,,536427,1103560
54.02223,,625593,1068477
54.02258,,959242,406791
54.02288,,582794,1048832
54.0235,,520799,1152767
54.02366,,525365,747228
54.02375,,604424,652707
54.02395,,491475,1350027
54.02429,,627094,688336
54.0248,,547397,1084964
54.02541,,547749,913779
54.02553,,530046,895673
54.02647,,442116,1689685
54.02692,,425120,1062826
54.02743,,481333,1031730
54.02762,,441724,1504824
54.02863,,655872,794517
54.02879,,443808,1407821
54.02904,,579856,1016352
54.02944,,594429,827779
54.02999,,655881,882465
54.03075,,1016742,545953
54.03268,,616613,720474
54.03284,,466241,534907
54.03296,,547470,1270160
54.03319,,768531,504143
54.03393,,576041,406149
54.03412,,650329,612833
54.03432,,416474,1937530
54.03482,,579991,931649
54.03542,,471360,1405398
54.03554,,435051,1994195
54.03565,,439967,2453619
54.03581,,566291,580974
54.03789,,611645,808855
54.03823,,513846,922700
54.03857,,465976,766982
54.03918,,421790,1334146
54.0393,,672282,641497
54.04011,,455250,1322860
54.04077,,603128,727227
54.04121,,461458,638084
54.04199,,436024,1481096
54.04233,,517026,1037459
54.04245,,426997,1383881
54.04271,,415066,1221713
54.04281,,448650,1186267
54.04295,,432090,1476967
54.04322,,514949,982095
54.04392,,472980,1272279
54.04426,,500845,1279211
54.04438,,475883,1182446
54.04467,,626544,651809
54.0452,,670998,573451
54.04546,,576078,633798
54.04608,,718501,491887
54.04628,,532362,638085
54.04637,,482210,1145566
54.04652,,438614,1645417
54.0469,,644262,628003
54.04733,,412955,1415700
54.04755,,641415,829329
54.04787,,573356,813352
54.04818,,627411,553551
54.04856,,467222,714847
54.04888,,421353,2158423
54.04909,,450846,1426710
54.04932,,561249,721343
54.05044,,825197,533665
54.05126,,740541,751866
54.05169,,461360,1332503
54.05251,,527853,1115041
54.05321,,548004,1089520
54.05341,,545399,816267
54.05348,,478568,718343
54.05371,,611272,1024220
54.05427,,838954,531988
54.05467,,817347,660076
54.05523,,430318,884228
54.05799,,879902,309674
54.05837,,722353,621905
54.05913,,428341,2218753
54.05931,,430576,1752065
54.05947,,539189,959870
54.05974,,646485,769034
54.0599,,588172,478188
54.06023,,547725,494095
54.06115,,482636,1137766
54.06192,,480687,907300
54.06255,,575655,988105
54.0627,,516618,1145247
54.06283,,589211,713350
54.06295,,538504,686369
54.06327,,469221,1001834
54.06358,,429931,1643178
54.06441,,730641,638123
54.06508,,482217,667036
54.06514,,468553,503078
54.06527,,724048,697110
54.0654,,461910,1211895
54.06589,,565979,856323
54.06664,,541940,979572
54.06703,,553712,447437
54.06721,,634386,418921
54.06762,,676733,585416
54.068,,485411,1057798
54.06811,,646983,775243
54.06885,,460137,1550251
54.06909,,492680,920685
54.06958,,766829,821678
54.07,,643624,884996
54.07033,,450047,1482189
54.07053,,542971,1054195
54.07078,,425037,2259150
54.07103,,465200,1309372
54.07181,,541553,1052229
54.07201,,671704,686630
54.07237,,513920,1180844
54.07255,,547190,957086
54.07316,,438875,1782557
54.07376,,492229,1284220
54.07386,,531037,759646
54.07466,,434926,1572766
54.07478,,647190,884536
54.07506,,445676,1544367
54.07522,,597114,733761
54.07542,,643476,789259
54.07595,,478637,1052390
54.07614,,668459,1109045
54.07631,,514982,1401512
54.07676,,572818,445922
54.07702,,481724,974555
54.07734,,575927,626744
54.07757,,473911,974788
54.07836,,1221655,539999
54.0787,,526812,1142432
54.07947,,549348,814028
54.08098,,710192,798908
54.08111,,423190,2830080
54.08123,,495274,1293224
54.08253,,792365,662253
54.08286,,504190,1041648
54.08336,,799539,659038
54.08472,,517184,1036213
54.08492,,572694,623654
54.08604,,560763,878661
54.08661,,481632,1527341
54.0877,,658986,630394
